analog_allocated_bytes_first_measured_decode,analog_errors,analog_ler,analog_runtime_seconds,analog_seconds_per_decode,certified_integer_box_bound,ci,cpd_allocated_bytes_first_measured_decode,cpd_errors,cpd_ler,cpd_runtime_seconds,cpd_seconds_per_decode,crossing_sigma,dimension,distance,distance_gap,errors,evidence,fidelity,ler,lower_distance,may_be_replaced_by_three_size_fit,median_allocated_bytes_per_measured_decode,median_seconds_per_decode,method,mismatch,official,official_distance,offset,oracle_distance,p95_seconds_per_decode,pair,paired_error_difference,quantity,record_type,sample,samples,seed,seed_clusters,seed_ler_standard_error,sigma,trials,value,value_state
,,,,,2,,,,,,,,2,,1.6653345369377348e-16,,,,,,,,,official_cpd,False,,0.3024731788233771,,0.30247317882337726,,,,,exact_cvp,6,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.732515286305076,,1.732515286305076,,,,,exact_cvp,7,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.5573064310344203,,0.5573064310344203,,,,,exact_cvp,8,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.9971620308984884,,0.9971620308984884,,,,,exact_cvp,9,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.3948835838301485,,1.3948835838301485,,,,,exact_cvp,10,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.7246962310415976,,0.7246962310415976,,,,,exact_cvp,11,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.4841246011117013,,1.4841246011117013,,,,,exact_cvp,12,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.0794620564828987,,1.0794620564828987,,,,,exact_cvp,13,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.649975874430569,,1.649975874430569,,,,,exact_cvp,14,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.2700630488220361,,1.2700630488220361,,,,,exact_cvp,15,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,4.440892098500626e-16,,,,,,,,,official_cpd,False,,1.1899614962512377,,1.1899614962512373,,,,,exact_cvp,16,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,2.220446049250313e-16,,,,,,,,,official_cpd,False,,1.428259530612734,,1.4282595306127341,,,,,exact_cvp,17,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,1.1102230246251565e-16,,,,,,,,,official_cpd,False,,0.7085791743166507,,0.7085791743166509,,,,,exact_cvp,18,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.36254905410699667,,0.36254905410699667,,,,,exact_cvp,19,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.6677018014194489,,0.6677018014194489,,,,,exact_cvp,20,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.6068242452380368,,1.6068242452380368,,,,,exact_cvp,21,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.13893706007781448,,0.13893706007781448,,,,,exact_cvp,22,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,3,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.6998906335734476,,1.6998906335734476,,,,,exact_cvp,23,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,2.074072528771968,,2.074072528771968,,,,,exact_cvp,24,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.50318534474475,,1.50318534474475,,,,,exact_cvp,25,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.7866884906965979,,1.7866884906965979,,,,,exact_cvp,26,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,2.220446049250313e-16,,,,,,,,,official_cpd,False,,1.3249158311120075,,1.3249158311120077,,,,,exact_cvp,27,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,0.6717130843452769,,0.6717130843452769,,,,,exact_cvp,28,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,1.1102230246251565e-16,,,,,,,,,official_cpd,False,,0.7030245909187594,,0.7030245909187595,,,,,exact_cvp,29,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.9816675551862577,,1.9816675551862577,,,,,exact_cvp,30,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.32082127212549,,1.32082127212549,,,,,exact_cvp,31,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.0918429711312017,,1.0918429711312017,,,,,exact_cvp,32,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,2,,0.0,,,,,,,,,official_cpd,False,,1.0644770642055892,,1.0644770642055892,,,,,exact_cvp,33,,,,,,,,OFFICIAL_CODE_REPRODUCTION
