point_id,device,cutoff,batch_size,full_cycles,half_cycles,status,feasible,preferred,runtime_median_seconds,runtime_p90_seconds,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,peak_rss_bytes,rss_delta_bytes,observed_memory_fraction,mean_reward,mean_ground_outcome_fraction,minimum_trajectory_probability,minimum_gradient_norm,maximum_gradient_norm,maximum_trace_error,maximum_hermiticity_error,minimum_final_eigenvalue,policy_parameter_count,real_dtype,warmup_steps,repeats,grid_points,score_baseline,seed,runtime_repeat_1_seconds,runtime_repeat_2_seconds,runtime_repeat_3_seconds
cuda-c24-b8-h2-float64,cuda,24,8,2,4,pass,True,True,0.283832800007076,0.2839495200110832,136090112,150994944,1649520640,1085091840,0.01585168177480916,0.6666885319931174,0.8541666666666666,0.005916522223621796,0.5776434289925245,0.8402966048435864,4.440892098500626e-16,0.0,-5.861631539490175e-17,72913,float64,1,3,2049,0.35,314159,0.28277279999747407,0.28397870001208503,0.283832800007076
cuda-c24-b8-h10-float64,cuda,24,8,10,20,pass,True,True,1.4507369000057224,1.4536156200047117,530355712,549453824,1676865536,1112879104,0.06177546517175572,0.4912602293996448,0.8333333333333334,1.2182823646736795e-08,1.3320938092324894,2.281015376941484,4.440892098500626e-16,0.0,-1.0946887020146893e-16,72913,float64,1,3,2049,0.35,314159,1.4428899000049569,1.454335300004459,1.4507369000057224
cuda-c24-b16-h10-float64,cuda,24,16,10,20,pass,True,False,2.1740392000065185,2.182664320000913,748328448,763363328,1691447296,1126952960,0.08716477814885497,0.571011660484505,0.853125,4.0518731196103087e-08,1.5555297290226353,1.6150370346193088,5.551115123125783e-16,0.0,-1.5109707973224768e-16,72913,float64,1,3,2049,0.35,314159,2.1740392000065185,2.1848205999995116,2.1685189999989234
cuda-c24-b32-h10-float64,cuda,24,32,10,20,pass,True,False,3.6862800999952015,3.6920448200020473,1212226560,1220542464,1667792896,1104355328,0.14119930820610688,0.5206575690667276,0.8453125,1.3540139465785024e-07,1.3931508593781323,1.6043478344556048,4.440892098500626e-16,0.0,-2.32770521104783e-16,72913,float64,1,3,2049,0.35,314159,3.693486000003759,3.6799354999966454,3.6862800999952015
cuda-c24-b64-h10-float64,cuda,24,64,10,20,pass,True,False,6.78843020000204,6.792175159996259,2050612736,2097152000,1667923968,1104613376,0.2388539479961832,0.5351236060932302,0.8351562500000002,1.2756545235725458e-08,1.3065306512927188,2.0267168926688353,4.440892098500626e-16,0.0,-3.7815175721302667e-16,72913,float64,1,3,2049,0.35,314159,6.78843020000204,6.78809000000183,6.793111399994814
cuda-c32-b4-h10-float64,cuda,32,4,10,20,pass,True,True,1.5724178999953438,1.5824693400005345,887589888,910163968,1678217216,1114165248,0.10338585400763359,0.6030575596738275,0.8750000000000001,1.382716049557862e-06,1.6753490143057848,2.7757927558421374,4.440892098500626e-16,0.0,-7.071529283964773e-17,72913,float64,1,3,2049,0.35,314159,1.5724178999953438,1.54472020000685,1.584982200001832
cuda-c32-b8-h2-float64,cuda,32,8,2,4,pass,True,True,0.4713535999908345,0.475081439994392,267469312,287309824,1648369664,1084514304,0.031154639790076336,0.7304177889232282,0.875,0.005507264576822309,0.8057044615955388,1.3572827799219322,4.440892098500626e-16,0.0,-1.2638007007049888e-16,72913,float64,1,3,2049,0.35,314159,0.47601339999528136,0.46531400000094436,0.4713535999908345
cuda-c32-b8-h10-float64,cuda,32,8,10,20,pass,True,False,2.3715311999985715,2.376155839997227,1083803136,1103101952,1675599872,1111457792,0.12624063692748091,0.5351132717844799,0.8562500000000001,4.242889624341976e-09,1.8401846048548398,2.8880152510418564,4.440892098500626e-16,0.0,-8.032177329161294e-16,72913,float64,1,3,2049,0.35,314159,2.3773119999968912,2.3715311999985715,2.368080399988685
cuda-c32-b16-h10-float64,cuda,32,16,10,20,pass,True,False,4.06415969999216,4.069142259992077,1476122112,1516240896,1675739136,1111396352,0.17193767891221373,0.6055098691933837,0.8666666666666667,1.7947335676256643e-07,1.6427663425495833,2.627702656714783,4.440892098500626e-16,0.0,-5.754326375446004e-16,72913,float64,1,3,2049,0.35,314159,4.070387899992056,4.058447300005355,4.06415969999216
cuda-c32-b32-h10-float64,cuda,32,32,10,20,pass,True,False,7.431199899991043,7.440431899996474,2260663296,2329935872,1669554176,1106161664,0.26332049141221375,0.5734436326522884,0.8640625000000001,9.599814850076935e-08,1.7868256787557377,2.0394586372003842,4.440892098500626e-16,0.0,-9.369018316140571e-16,72913,float64,1,3,2049,0.35,314159,7.42514909998863,7.431199899991043,7.442739899997832
cuda-c48-b2-h10-float64,cuda,48,2,10,20,pass,True,False,2.4182290000026114,2.4206111600040456,2506650624,2554331136,1685848064,1121984512,0.2919729246183206,0.5961769429537774,0.8833333333333334,9.754669590483449e-06,2.0905206385817365,3.2167020352433227,3.3306690738754696e-16,0.0,-4.625487546836216e-17,72913,float64,1,3,2049,0.35,314159,2.4123507000040263,2.4182290000026114,2.4212067000044044
cuda-c48-b4-h10-float64,cuda,48,4,10,20,pass,True,False,4.0869153999956325,4.100562439998612,2736086528,2803892224,1683984384,1119571968,0.3186974594465649,0.6033107750775697,0.8708333333333335,1.2906349357897769e-06,1.7386353263746945,3.024828374851719,4.440892098500626e-16,0.0,-4.8841533998917204e-17,72913,float64,1,3,2049,0.35,314159,4.103974199999357,4.086094699989189,4.0869153999956325
cuda-c48-b8-h2-float64,cuda,48,8,2,4,pass,True,True,1.487909999996191,1.4929328800004442,764863488,773849088,1659940864,1095577600,0.08909076812977099,0.7363177652114263,0.875,0.00557970942477027,0.9068423090382481,1.5265320316152733,2.220446049250313e-16,0.0,-3.338925755031815e-17,72913,float64,1,3,2049,0.35,314159,1.4941886000015074,1.487909999996191,1.4807881000015186
cuda-c48-b8-h10-float64,cuda,48,8,10,20,pass,True,False,7.480127499991795,7.705948140000691,3128666112,3177185280,1682817024,1119141888,0.364424856870229,0.5437027143863998,0.8583333333333334,3.4651663281892606e-09,1.7873732950442103,3.014392662170425,4.440892098500626e-16,0.0,-1.0463870875867361e-16,72913,float64,1,3,2049,0.35,314159,7.472161100013182,7.480127499991795,7.762403300002916
cuda-c48-b16-h10-float64,cuda,48,16,10,20,runtime_exceeded,False,False,13.954200899999705,13.978870419997838,4040202240,4110417920,1686278144,1121492992,0.47059995229007634,0.5969929200673886,0.8677083333333334,1.7246079834715508e-07,1.9145017136852651,2.7086381338875145,4.440892098500626e-16,0.0,-9.052734188733088e-17,72913,float64,1,3,2049,0.35,314159,13.954200899999705,13.929023999997298,13.985037799997372
cpu-c8-b1-h2-float64,cpu,8,1,2,4,pass,True,True,0.09603870000864845,0.09657213999598753,,,575352832,118792192,0.016883391770003076,0.3141655144427504,0.8333333333333334,0.017879623388050162,0.4736374987361152,1.2204899075098377,1.1102230246251565e-16,0.0,-3.053443465810155e-17,72913,float64,1,3,2049,0.35,314159,0.0967054999928223,0.09603870000864845,0.09179190000577364
cpu-c8-b2-h2-float64,cpu,8,2,2,4,pass,True,True,0.18343770000501536,0.20015010000788608,,,576106496,120254464,0.016905507598529924,0.42683579729970705,0.7916666666666666,0.01782566800741874,0.5274368346469471,0.9319510786022421,2.220446049250313e-16,0.0,-3.953432631361523e-17,72913,float64,1,3,2049,0.35,314159,0.18343770000501536,0.20432820000860374,0.16071150000789203
cpu-c8-b4-h2-float64,cpu,8,4,2,4,pass,True,True,0.23176360000798013,0.24077271999267397,,,577728512,121831424,0.016953104707750744,0.42582733978675974,0.7291666666666666,0.01840823349599788,0.3606194071816327,0.572076336407115,3.3306690738754696e-16,0.0,-5.109956019468454e-17,72913,float64,1,3,2049,0.35,314159,0.20015560000319965,0.2430249999888474,0.23176360000798013
cpu-c8-b4-h6-float64,cpu,8,4,6,12,pass,True,True,0.45307129999855533,0.5126592200016603,,,597893120,141713408,0.017544823315564145,0.23106049657331926,0.6180555555555555,0.0001721556565360378,0.4798353216837826,0.6866145174123377,4.440892098500626e-16,0.0,-4.9911253654474635e-17,72913,float64,1,3,2049,0.35,314159,0.5275562000024365,0.45307129999855533,0.43405429999984335
cpu-c8-b4-h10-float64,cpu,8,4,10,20,pass,True,True,0.7636516000056872,0.7749360000045271,,,622002176,165343232,0.01825228943898273,0.17949745511133144,0.6166666666666667,7.433317239600798e-07,0.49590419780932427,0.6097106399847617,4.440892098500626e-16,0.0,-3.287777638916137e-17,72913,float64,1,3,2049,0.35,314159,0.7233666000101948,0.7777571000042371,0.7636516000056872
cpu-c8-b8-h2-float64,cpu,8,8,2,4,pass,True,True,0.15988799999468029,0.1753234399948269,,,580956160,124424192,0.01704781814731137,0.3362083677008599,0.6666666666666666,0.01818520660157822,0.3276548737941956,0.6039811300764254,4.440892098500626e-16,0.0,-6.111067762582389e-17,72913,float64,1,3,2049,0.35,314159,0.145073699997738,0.15988799999468029,0.17918229999486357
cpu-c12-b2-h2-float64,cpu,12,2,2,4,pass,True,True,0.14385229999606963,0.1440063000045484,,,586559488,130412544,0.017212244524619665,0.4602609443690236,0.8333333333333334,0.013311735538691949,0.5477149258480203,0.8999173456996115,0.0,0.0,-5.490036903136652e-17,72913,float64,1,3,2049,0.35,314159,0.14385229999606963,0.14404480000666808,0.13920189999043941
cpu-c16-b2-h2-float64,cpu,16,2,2,4,pass,True,True,0.176415599999018,0.20425775999901816,,,604344320,147779584,0.017734129999965143,0.6500434043088116,0.9166666666666666,0.06965235515358822,0.6725063241446498,0.6891770603969678,2.220446049250313e-16,0.0,-7.177408743518364e-17,72913,float64,1,3,2049,0.35,314159,0.16531510000640992,0.176415599999018,0.2112182999990182
cpu-c16-b2-h10-float64,cpu,16,2,10,20,pass,True,True,0.9389415000041481,0.9786008599970956,,,733790208,277106688,0.02153264374417131,0.319987225088085,0.775,2.9429031211458146e-06,0.9761586795836468,1.3710672754201207,3.3306690738754696e-16,0.0,-6.715187301784811e-17,72913,float64,1,3,2049,0.35,314159,0.8803684000013163,0.9885156999953324,0.9389415000041481
