scenario,cycle,input_valid,input_word_hex,actual_commit_ack,expected_commit_ack,actual_active_version,expected_active_version,actual_map_valid,expected_map_valid,actual_map_address,expected_map_address,actual_map_llr_twos,expected_map_llr_twos,actual_output_word_hex,expected_output_word_hex,actual_state_word_hex,expected_state_word_hex,exact
fault_and_commit,47,True,26eff000788417a,False,False,0,0,True,True,3,3,2400,2400,3368c01cb1000000000fc000000011,3368c01cb1000000000fc000000011,b2c9000000000000000000000000000000000000ac000000000003f000,b2c9000000000000000000000000000000000000ac000000000003f000,True
fault_and_commit,48,True,3224300080801c3,False,False,0,0,True,True,21,21,10679,10679,18e0400960000000000fc000000011,18e0400960000000000fc000000011,5ab5000000000000000000000000000000000000b0000000000003f000,5ab5000000000000000000000000000000000000b0000000000003f000,True
fault_and_commit,49,True,24487000888420c,False,False,0,0,True,True,39,39,28355,28355,2158c029b7000000000fc000000011,2158c029b7000000000fc000000011,12aa000000000000000000000000000000000000b4000000000003f000,12aa000000000000000000000000000000000000b4000000000003f000,True
fault_and_commit,50,True,148df0009080255,False,False,0,0,True,True,58,58,28704,28704,057c006ec3000000000fc000000011,057c006ec3000000000fc000000011,ca8b000000000000000000000000000000000000b8000000000003f000,ca8b000000000000000000000000000000000000b8000000000003f000,True
fault_and_commit,51,True,38fd7000988429e,True,True,1,1,True,True,76,76,54311,54311,333b407020000000000fc000000011,333b407020000000000fc000000011,8294000000000000000000000000000000000000bc000000000003f000,8294000000000000000000000000000000000000bc000000000003f000,True
fault_and_commit,52,True,1ee2f000a0802e7,False,False,1,1,True,True,94,94,46727,46727,2631c0d427000000000fc000000011,2631c0d427000000000fc000000011,cb26000000000000000000000000000000000000c0000000000003f000,cb26000000000000000000000000000000000000c0000000000003f000,True
fault_and_commit,53,True,1c5ff000a884330,False,False,1,1,True,True,112,112,80245,80245,1204c0b687000000000fc000000011,1204c0b687000000000fc000000011,8339000000000000000000000000000000000000c4000000000003f000,8339000000000000000000000000000000000000c4000000000003f000,True
fault_and_commit,54,True,2a3b7000b080379,False,False,1,1,True,True,131,131,60084,60084,37a9813975000000000fc000000011,37a9813975000000000fc000000011,5b18000000000000000000000000000000000000c8000000000003f000,5b18000000000000000000000000000000000000c8000000000003f000,True
fault_and_commit,55,True,172cf000b8843c2,False,False,1,1,True,True,149,149,75820,75820,27cd00eab4000000000fc000000011,27cd00eab4000000000fc000000011,1307000000000000000000000000000000000000cc000000000003f000,1307000000000000000000000000000000000000cc000000000003f000,True
fault_and_commit,56,True,35cf000c08000b,False,False,1,1,True,True,167,167,42434,42434,0baec1282c000000000fc000000011,0baec1282c000000000fc000000011,68ea000000000000000000000000000000000000d0000000800003f000,68ea000000000000000000000000000000000000d0000000800003f000,True
fault_and_commit,57,True,1d2d3000c884054,False,False,1,1,True,True,185,185,40318,40318,108fc0a5c2000100000fc000000011,108fc0a5c2000100000fc000000011,20f5000000000000000000000000000000000000d4000000800003f000,20f5000000000000000000000000000000000000d4000000800003f000,True
fault_and_commit,58,True,1e41b000d08009d,False,False,1,1,True,True,204,204,19622,19622,1167409d7e000100000fc000000011,1167409d7e000100000fc000000011,f8d4000000000000000000000000000000000000d8000000800003f000,f8d4000000000000000000000000000000000000d8000000800003f000,True
fault_and_commit,59,True,cda3000d8840e6,False,False,1,1,True,True,222,222,25738,25738,2bef804ca6000100000fc000000011,2bef804ca6000100000fc000000011,b0cb000000000000000000000000000000000000dc000000800003f000,b0cb000000000000000000000000000000000000dc000000800003f000,True
fault_and_commit,60,True,3ebaf000e08012f,False,False,1,1,True,True,240,240,4191113,4191113,34d580648a000100000fc000000011,34d580648a000100000fc000000011,96c5000000000000000000000000000000000000e0000000c00043f000,96c5000000000000000000000000000000000000e0000000c00043f000,True
fault_and_commit,61,True,239bb000e884178,False,False,1,1,True,True,2,2,4183166,4183166,18687ff389000100000fc010001511,18687ff389000100000fc010001511,f83f000000000000000000000000000000000000e4000000c04063f000,f83f000000000000000000000000000000000000e4000000c04063f000,True
fault_and_commit,62,True,31903000f0801c1,False,False,1,1,True,True,21,21,26003,26003,1adb3fd47e000100000fc010101a91,1adb3fd47e000100000fc010101a91,201e000000000000000000000000000000000000e8000000c04063f000,201e000000000000000000000000000000000000e8000000c04063f000,True
fault_and_commit,63,True,26543000f88420a,False,False,1,1,True,True,39,39,3462,3462,3431806593000100000fc010101811,3431806593000100000fc010101811,6801000000000000000000000000000000000000ec000000c04063f000,6801000000000000000000000000000000000000ec000000c04063f000,True
