row_type,seed,family,method,index,numerator,denominator,value,metric,evidence
window,61830001,smooth,static_euclidean,178,118,512,0.23046875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,179,126,512,0.24609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,180,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,181,122,512,0.23828125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,182,126,512,0.24609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,183,119,512,0.232421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,184,131,512,0.255859375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,185,125,512,0.244140625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,186,126,512,0.24609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,187,117,512,0.228515625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,188,117,512,0.228515625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,189,135,512,0.263671875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,190,117,512,0.228515625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,191,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,192,134,512,0.26171875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,193,115,512,0.224609375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,194,119,512,0.232421875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,static_euclidean,195,130,512,0.25390625,window_ler,PROJECT_NATIVE_MATCHED
seed_summary,61830001,smooth,weighted_static,,21720,100000,0.2172,p_L,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,1,107,512,0.208984375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,2,94,512,0.18359375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,3,108,512,0.2109375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,4,96,512,0.1875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,5,77,512,0.150390625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,6,81,512,0.158203125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,7,91,512,0.177734375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,8,99,512,0.193359375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,9,82,512,0.16015625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,10,103,512,0.201171875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,11,90,512,0.17578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,12,80,512,0.15625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,13,74,512,0.14453125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,14,83,512,0.162109375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,15,90,512,0.17578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,16,68,512,0.1328125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,17,80,512,0.15625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,18,76,512,0.1484375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,19,85,512,0.166015625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,20,84,512,0.1640625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,21,78,512,0.15234375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,22,84,512,0.1640625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,23,74,512,0.14453125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,24,84,512,0.1640625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,25,80,512,0.15625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,26,79,512,0.154296875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,27,100,512,0.1953125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,28,82,512,0.16015625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,29,99,512,0.193359375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,30,82,512,0.16015625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,31,84,512,0.1640625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,32,85,512,0.166015625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,33,89,512,0.173828125,window_ler,PROJECT_NATIVE_MATCHED
