record_type,record_id,family,points,mismatches,value,details
boundary_chunk,b900000:1000000,square_euclidean,100000,0,33368,"{""exact_tie_coordinates"": 33368, ""mismatches"": 0, ""points"": 100000, ""start"": 900000, ""stop"": 1000000}"
counterexample,biased,biased,1,1,1,"{""ci_class"": 0, ""family"": ""biased"", ""independent_brute"": {""class"": 1, ""radius"": 32, ""weighted_even"": 2.965576367627061e-06, ""weighted_odd"": 0.39788735772973843}, ""is_counterexample"": true, ""likelihood_map_class"": 1, ""mean_over_lattice"": 1.0, ""project_posterior_even"": 7.453250792795924e-06, ""selection_rule"": ""canonical one-lattice mean shift; not outcome-tuned"", ""sigma_over_lattice"": 0.2, ""syndrome_over_lattice"": 0.0}"
counterexample,correlated,correlated,10201,1,2,"{""ci_class"": 0, ""family"": ""correlated"", ""independent_brute"": {""class"": 2, ""posterior"": [[0.3803129461364301, 0.10529878155081275], [0.4280250571829843, 0.0863632151297729]], ""radius"": 20}, ""is_counterexample"": true, ""likelihood_map_class"": 2, ""mismatch_points"": 2424, ""project_posterior"": [[0.38031294613643035, 0.10529878155081258], [0.42802505718298406, 0.08636321512977292]], ""rho"": 0.9, ""searched_points"": 10201, ""selection_rule"": ""first lexicographic mismatch on fixed 101x101 canonical midpoint grid"", ""sigma_p_over_lattice"": 0.42, ""sigma_q_over_lattice"": 0.42, ""syndrome_over_lattice"": [-0.4950495049504951, 0.00990099009900991]}"
counterexample,finite_energy_likelihood,finite_energy_likelihood,2001,1,1,"{""ci_class"": 0, ""component_counts"": [7, 8], ""family"": ""finite_energy_likelihood"", ""independent_peak_table_densities"": [0.16341832403181464, 0.20273888365629233], ""is_counterexample"": true, ""likelihood_map_class"": 1, ""logical_state_densities"": [0.16341832403181464, 0.2027388836562924], ""maximum_relative_reconstruction_error"": 2.7380614034240755e-16, ""mismatch_points"": 192, ""model"": ""normalized damped-projector logical-state likelihoods with equal prior"", ""projector_delta"": 1.0, ""searched_points"": 2001, ""selection_rule"": ""first mismatch on fixed 2001-point canonical midpoint grid"", ""syndrome_over_lattice"": -0.49975012493753124}"
comparator,closest_integer,square_isotropic_euclidean_nearest_lattice,0,0,1,nearest point in lambda Z^2
comparator,square_euclidean_cpd,square_isotropic_euclidean_nearest_lattice,0,0,0,nearest point in lambda Z^2
comparator,periodic_coset_map,likelihood_coset_sum,0,0,1,most likely logical coset under named likelihood/prior
source,NOH2022_SURFACE_GKP,primary_literature,0,0,179cc555c9240fea48e79da4e178dcd103d3cff516519f2c8cebd8b8c5ff3aa9,closest-integer terminology/context only; no CNOT or 9.9 dB result is reproduced here
source,LIN2023_CPD,primary_literature,0,0,375288e867fae42591dfee26101182b24d161e24d771983c88f184689d76ca89,closest-point terminology and square-lattice specialization only; no multimode threshold is reproduced here
proof,lattice,analytic,0,0,Lambda=lambda*Z^2,
proof,metric,analytic,0,0,isotropic Euclidean squared norm,
proof,objective,analytic,0,0,"argmin_k in Z^2 ||x-lambda*k||_2^2 = argmin_(kq,kp) [(xq/lambda-kq)^2+(xp/lambda-kp)^2]",
proof,separability,analytic,0,0,"the sum contains no cross term, so each integer coordinate minimizes independently",
proof,decision_region,analytic,0,0,"R_k=product_i [(k_i-1/2)lambda,(k_i+1/2)lambda)",
proof,tie_rule,analytic,0,0,positive half boundary belongs to the larger integer in each axis,
proof,conclusion,analytic,0,0,CPD_lambdaZ2_Euclidean(x)=lambda*CI(x/lambda),
proof,excluded,analytic,0,0,"[""biased mean/prior"", ""correlated Mahalanobis cross term"", ""periodic alias/coset summation"", ""finite-energy state likelihood"", ""outer code"", ""multimode structured lattice""]",
