category,task_id,contract_id,implementation_sha256,status,path,sha256,all_required_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,lane_id,cutoff,noise_profile,mode,cycle,time_us,state_label,survival,leakage,conditional_bloch_x,conditional_bloch_y,conditional_bloch_z,rho00_real,rho00_imag,rho01_real,rho01_imag,rho10_real,rho10_imag,rho11_real,rho11_imag,ptm_row,ptm_column,value,pair_sum_linearity_residual,minimum_choi_eigenvalue,minimum_survival,maximum_survival,mean_leakage,survival_spread,off_diagonal_pauli_norm,coherent_rotation_norm,nonunital_code_flow_norm,state_dependent_survival_norm,passed_physicality,axis,definition,truncated_signed_area_cycles,truncated_signed_area_us,e_fold_crossing_cycles,e_fold_crossing_us,e_fold_status,horizon_cycles,horizon_us,final_normalized_signal,minimum_normalized_signal,maximum_normalized_signal,revival_step_count,negative_point_count,qec_on_area_cycles,qec_off_area_cycles,qec_on_minus_off_area_cycles,qec_on_to_off_area_ratio,qec_on_e_fold_cycles,qec_off_e_fold_cycles,lower_cutoff,higher_cutoff,terminal_registered_pair,final_ptm_frobenius_difference,final_mean_leakage_absolute_difference,used_as_infinite_cutoff_convergence_claim,gate,passed
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,I,Z,-0.005023959490525587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,X,I,-0.0049365043507111125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,X,X,0.7941921426288728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,X,Y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,X,Z,0.00013201099284835443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,Y,I,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,Y,X,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,Y,Y,0.7942336285201355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,Y,Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,Z,I,-0.0049342537748438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,Z,X,0.00013201099284826379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,Z,Y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,Z,Z,0.79419202223254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomography_diagnostic,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,2,20.0,,,,,,,,,,,,,,,,,,3.459109948037692e-16,1.0685671994303922e-06,0.7895149764239554,0.7995674783885761,0.20545877259373413,0.010052501964620708,0.0001866917364684164,6.409166481736504e-17,0.006979680187454869,0.007106572162415429,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,x_plus,0.7108734335234086,0.2891265664765914,0.9991758933132742,0.0,-0.004484389347821305,0.35384280013523356,0.0,0.35514379898671317,0.0,0.35514379898671306,0.0,0.3570306333881751,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,x_minus,0.7187746342427292,0.28122536575727075,-0.9982273659542854,0.0,-0.005595342456444861,0.35737642200756764,0.0,-0.3587502549274373,0.0,-0.35875025492743723,0.0,0.3613982122351616,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,y_plus,0.7148240338830689,0.2851759661169311,-0.005045235987845688,0.99817035491571,-0.005042935840706898,0.35560961107140066,2.2915175479199533e-17,-0.0018032279703619448,-0.35675807980167124,-0.00180322797036194,0.35675807980167124,0.35921442281166827,5.40021000153157e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,y_minus,0.7148240338830689,0.2851759661169311,-0.005045235987845688,-0.99817035491571,-0.005042935840706898,0.35560961107140066,-2.2915175479199533e-17,-0.0018032279703619448,0.35675807980167124,-0.00180322797036194,-0.35675807980167124,0.35921442281166827,-5.40021000153157e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,z_plus,0.7108752346209462,0.28912476537905385,-0.004486690910112039,0.0,0.9991751397289217,0.71058204825158,0.0,-0.0015947387266987665,0.0,-0.001594738726698796,0.0,0.00029318636936614685,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,z_minus,0.7187728331451914,0.28122716685480864,-0.005597643987801592,0.0,-0.9982270507124401,0.0006371738912210979,0.0,-0.002011717214025151,0.0,-0.002011717214025146,0.0,0.7181356592539703,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,I,I,0.7148240338830688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,I,X,-0.0039506003596603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,I,Y,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,I,Z,-0.003948799262122604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,X,I,-0.003606455940723996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,3,30.0,,,,,,,,,,,,,,,X,X,0.7138940539141504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
