backend,ancilla,action,seed,sample_count,log_evidence_abs_error,posterior_l1_error,integrated_mean_abs_error
backend_a,e,RESET,1030003,8,1.7763568394002505e-15,3.3306690738762506e-16,2.7755575615628914e-17
backend_a,e,RESET,1030004,8,0.0,1.919104730312774e-35,0.0
backend_a,e,RESET,1030005,8,0.0,5.551115124159758e-16,2.7755575615628914e-17
backend_a,e,RESET,1030006,8,0.0,4.4296401118698406e-33,1.1102230246251565e-16
backend_a,e,RESET,1030007,8,1.7763568394002505e-15,1.6562997523165158e-32,2.7755575615628914e-17
backend_a,f,IDLE,1030000,8,0.0,6.211124070648836e-33,2.7755575615628914e-17
backend_a,f,IDLE,1030001,8,0.0,1.222514124855179e-35,6.938893903907228e-18
backend_a,f,IDLE,1030002,8,0.0,2.2204460492503446e-16,2.7755575615628914e-17
backend_a,f,IDLE,1030003,8,0.0,1.5422485882788412e-35,1.3877787807814457e-17
backend_a,f,IDLE,1030004,8,0.0,1.4432899320127658e-15,1.1102230246251565e-16
backend_a,f,IDLE,1030005,8,3.552713678800501e-15,7.703722245627903e-34,0.0
backend_a,f,IDLE,1030006,8,0.0,9.013352139732264e-32,3.469446951953614e-18
backend_a,f,IDLE,1030007,8,1.7763568394002505e-15,3.77504838591434e-32,0.0
backend_a,f,X,1030000,8,0.0,1.9822633952605625e-31,2.7755575615628914e-17
backend_a,f,X,1030001,8,0.0,1.7660627126754048e-34,6.938893903907228e-18
backend_a,f,X,1030002,8,0.0,2.2204460492507075e-16,2.7755575615628914e-17
backend_a,f,X,1030003,8,0.0,1.4594937859809522e-34,1.3877787807814457e-17
backend_a,f,X,1030004,8,0.0,6.66133814775228e-16,1.1102230246251565e-16
backend_a,f,X,1030005,8,3.552713678800501e-15,1.0014836227388292e-32,0.0
backend_a,f,X,1030006,8,0.0,1.0245947304140095e-31,3.469446951953614e-18
backend_a,f,X,1030007,8,1.7763568394002505e-15,3.3909908716136824e-32,0.0
backend_a,f,RESET,1030000,8,0.0,6.788903053965006e-33,2.7755575615628914e-17
backend_a,f,RESET,1030001,8,0.0,9.592033902709866e-36,6.938893903907228e-18
backend_a,f,RESET,1030002,8,0.0,1.1102230246253932e-16,2.7755575615628914e-17
backend_a,f,RESET,1030003,8,0.0,8.764485879730976e-35,1.3877787807814457e-17
backend_a,f,RESET,1030004,8,0.0,1.6653345369378484e-15,1.1102230246251565e-16
backend_a,f,RESET,1030005,8,3.552713678800501e-15,2.1185229812998764e-32,0.0
backend_a,f,RESET,1030006,8,0.0,1.4328918786241035e-31,3.469446951953614e-18
backend_a,f,RESET,1030007,8,1.7763568394002505e-15,1.567075028968208e-33,0.0
backend_b,g,IDLE,1031000,8,0.0,1.0696998592482816e-36,0.0
