scenario_id,base_evaluation_seed,evaluation_seed,target_survival,score_threshold,score_auc,trace_sha256,threshold,total_samples,accepted_samples,rejected_samples,survival_fraction,rejection_fraction,raw_error_rate,conditional_error_rate,accepted_failures_per_input,rejected_failure_capture_fraction,rejected_error_rate,truth_upper_conditional_error_rate,truth_upper_accepted_failures_per_input,random_rejection_expected_conditional_error_rate,random_rejection_expected_accepted_failures_per_input,break_even_rejection_penalty,total_cost_penalty_0.00,total_cost_penalty_0.25,total_cost_penalty_0.50,total_cost_penalty_1.00,raw_minus_conditional_error_rate
variance_correlation_ramp,20261038,20361038,0.9,0.010223105775464814,0.9702769590699183,c686b5e121806b7e6b87f235884d0ee48858ed76859e37ae8dd1a3891357fc59,0.010223105775464814,49152,45216,3936,0.919921875,0.080078125,0.011067708333333334,0.0014154281670205238,0.0013020833333333333,0.8823529411764706,0.12195121951219512,0.0,0.0,0.011067708333333334,0.010181427001953125,0.12195121951219512,0.0013020833333333333,0.021321614583333332,0.041341145833333336,0.08138020833333333,0.00965228016631281
variance_correlation_ramp,20261038,20361038,0.8,0.001548739715154679,0.9702769590699183,c686b5e121806b7e6b87f235884d0ee48858ed76859e37ae8dd1a3891357fc59,0.001548739715154679,49152,41139,8013,0.83697509765625,0.16302490234375,0.011067708333333334,0.00038892535064051145,0.0003255208333333333,0.9705882352941176,0.06589292399850244,0.0,0.0,0.011067708333333334,0.009263396263122559,0.06589292399850244,0.0003255208333333333,0.041081746419270836,0.08183797200520833,0.16335042317708334,0.010678782982692822
variance_correlation_ramp,20261038,20361038,0.7,0.0004416617253509836,0.9702769590699183,c686b5e121806b7e6b87f235884d0ee48858ed76859e37ae8dd1a3891357fc59,0.0004416617253509836,49152,36795,12357,0.74859619140625,0.25140380859375,0.011067708333333334,0.00019024323957059382,0.00014241536458333334,0.9871323529411765,0.04345714979363923,0.0,0.0,0.011067708333333334,0.008285244305928549,0.04345714979363923,0.00014241536458333334,0.06299336751302083,0.12584431966145834,0.2515462239583333,0.01087746509376274
variance_correlation_ramp,20261038,20361038,0.5,6.879024060191252e-05,0.9702769590699183,c686b5e121806b7e6b87f235884d0ee48858ed76859e37ae8dd1a3891357fc59,6.879024060191252e-05,49152,27306,21846,0.5555419921875,0.4444580078125,0.011067708333333334,0.00010986596352450011,6.103515625e-05,0.9944852941176471,0.024764258903231712,0.0,0.0,0.011067708333333334,0.006148576736450195,0.024764258903231712,6.103515625e-05,0.111175537109375,0.2222900390625,0.44451904296875,0.010957842369808833
sinusoidal_joint,20261031,20461031,0.995,0.4116404297684926,0.9597021310158291,cbc31b3c77537fa22dad39d9f1685e09950b33dffdd901f42e2203e87b722b5a,0.4116404297684926,49152,48745,407,0.9917195638020834,0.008280436197916666,0.020406087239583332,0.016288850138475742,0.016153971354166668,0.20837487537387836,0.5135135135135135,0.012226895066160632,0.012125651041666666,0.020406087239583332,0.02023711593614684,0.5135135135135135,0.016153971354166668,0.018224080403645836,0.020294189453125,0.024434407552083336,0.00411723710110759
sinusoidal_joint,20261031,20461031,0.99,0.3281971312781853,0.9597021310158291,cbc31b3c77537fa22dad39d9f1685e09950b33dffdd901f42e2203e87b722b5a,0.3281971312781853,49152,48409,743,0.9848836263020834,0.015116373697916666,0.020406087239583332,0.01375777231506538,0.0135498046875,0.33599202392821537,0.4535666218034993,0.005370902104980479,0.005289713541666667,0.020406087239583332,0.020097621199157503,0.4535666218034993,0.0135498046875,0.017328898111979168,0.021107991536458332,0.028666178385416664,0.006648314924517952
sinusoidal_joint,20261031,20461031,0.98,0.19926100551297787,0.9597021310158291,cbc31b3c77537fa22dad39d9f1685e09950b33dffdd901f42e2203e87b722b5a,0.19926100551297787,49152,47728,1424,0.9710286458333334,0.028971354166666668,0.020406087239583332,0.010015085484411665,0.009724934895833334,0.5234297108673978,0.3686797752808989,0.0,0.0,0.020406087239583332,0.019814895259009466,0.3686797752808989,0.009724934895833334,0.0169677734375,0.024210611979166668,0.0386962890625,0.010391001755171667
sinusoidal_joint,20261031,20461031,0.95,0.04931779639968714,0.9597021310158291,cbc31b3c77537fa22dad39d9f1685e09950b33dffdd901f42e2203e87b722b5a,0.04931779639968714,49152,45673,3479,0.9292195638020834,0.07078043619791667,0.020406087239583332,0.004576007706960349,0.004252115885416667,0.7916251246261217,0.22822650186835297,0.0,0.0,0.020406087239583332,0.018961735483672883,0.22822650186835297,0.004252115885416667,0.021947224934895836,0.039642333984375,0.07503255208333334,0.015830079532622984
sinusoidal_joint,20261031,20461031,0.9,0.010223105775464814,0.9597021310158291,cbc31b3c77537fa22dad39d9f1685e09950b33dffdd901f42e2203e87b722b5a,0.010223105775464814,49152,42328,6824,0.8611653645833334,0.13883463541666666,0.020406087239583332,0.0017718767718767718,0.00152587890625,0.9252243270189432,0.13599062133645956,0.0,0.0,0.020406087239583332,0.017573015557395086,0.13599062133645956,0.00152587890625,0.036234537760416664,0.07094319661458333,0.14036051432291666,0.01863421046770656
sinusoidal_joint,20261031,20461031,0.8,0.001548739715154679,0.9597021310158291,cbc31b3c77537fa22dad39d9f1685e09950b33dffdd901f42e2203e87b722b5a,0.001548739715154679,49152,36202,12950,0.7365315755208334,0.2634684244791667,0.020406087239583332,0.0006905695817910612,0.0005086263020833334,0.9750747756729811,0.07552123552123552,0.0,0.0,0.020406087239583332,0.015029727584785884,0.07552123552123552,0.0005086263020833334,0.066375732421875,0.13224283854166669,0.26397705078125,0.01971551765779227
